地名,センター,普通ごみ,プラ容器,ミックスペーパー,缶・ペット,粗大ごみ,小物金属
上新城,,月 木,水,土,火,水2 水4,水2 水4
下小田中,,月 木,水,土,火,月2 月4,月2 月4
下新城,,月 木,水,土,火,水2 水4,水2 水4
新城,,月 木,水,土,火,水2 水4,水2 水4
新城中町,,月 木,水,土,火,水2 水4,水2 水4
上小田中,,月 木,火,金,水,火2 火4,火2 火4
宮内,,月 木,火,金,水,水2 水4,水2 水4
上平間,,火 金,月,木,土,金2 金4,金2 金4
上丸子山王町,,火 金,月,木,土,木1 木3,木1 木3
上丸子八幡町,,火 金,月,木,土,水1 水3,水1 水3
北谷町,,火 金,月,木,土,金2 金4,金2 金4
下沼部,,火 金,月,木,土,木1 木3,木1 木3
田尻町,,火 金,月,木,土,金2 金4,金2 金4
中丸子,,火 金,月,木,土,木1 木3,木1 木3
上丸子天神町,,火 金,土,水,木,水1 水3,水1 水3
小杉御殿町,,火 金,土,水,木,火1 火3,火1 火3
小杉陣屋町,,火 金,土,水,木,火1 火3,火1 火3
小杉町,,火 金,土,水,木,火1 火3,火1 火3
新丸子町,,火 金,土,水,木,水1 水3,水1 水3
新丸子東,,火 金,土,水,木,水1 水3,水1 水3
等々力,,火 金,土,水,木,火1 火3,火1 火3
丸子通,,火 金,土,水,木,水1 水3,水1 水3
市ノ坪,,水 土,金,火,月,月1 月3,月1 月3
今井上町,,水 土,金,火,月,月1 月3,月1 月3
今井仲町,,水 土,金,火,月,月1 月3,月1 月3
今井西町,,水 土,金,火,月,月1 月3,月1 月3
今井南町,,水 土,金,火,月,月1 月3,月1 月3
苅宿,,水 土,金,火,月,金2 金4,金2 金4
木月伊勢町,,水 土,金,火,月,木2 木4,木2 木4
木月住吉町,,水 土,金,火,月,金2 金4,金2 金4
西加瀬,,水 土,金,火,月,金2 金4,金2 金4
大倉町,,水 土,金,火,月,金2 金4,金2 金4
井田,,水 土,木,月,金,金1 金3,金1 金3
井田三舞町,,水 土,木,月,金,金1 金3,金1 金3
井田杉山町,,水 土,木,月,金,金1 金3,金1 金3
井田中ノ町,,水 土,木,月,金,金1 金3,金1 金3
木月,,水 土,木,月,金,木2 木4,木2 木4
木月大町,,水 土,木,月,金,木2 木4,木2 木4
木月祇園町,,水 土,木,月,金,木2 木4,木2 木4
